Dim_Lojas.Regiao,ID_Produto,total_vendas,qtd_vendas,ticket_medio,clientes_unicos,lojas_unicas,canais_unicos,idade_media_clientes,idade_std_clientes,fidelidade,vendas_por_cliente,vendas_por_loja,ticket_relativo,vendas_relativa_regiao,participacao_lojas,score_produto_regiao,<18,18-25,26-35,36-50,50+,concentracao_vendas_loja
PANTANAIS SUL MATO-GROSSENSE,251372,559.98,559.98,1.0,1,1,1,23.0,,0.0,559.98,559.98,0.22501022773762444,1.0,1.0,0.4903314233372757,0.0,1.0,0.0,0.0,0.0,
CENTRO AMAZONENSE,213386,439.98,99.0,4.444242424242424,1,1,1,49.0,,0.0,99.0,99.0,1.0,0.0010696848924404828,0.1,0.4007552061992021,0.0,0.0,0.0,1.0,0.0,
LESTE GOIANO,214200,439.98,99.99,4.4002400240024,1,1,1,37.0,,0.0,99.99,99.99,0.9900990099009901,0.0012167906152696448,0.125,0.3968536524487298,0.0,0.0,0.0,1.0,0.0,
LESTE GOIANO,253029,399.98,100.0,3.9998,1,1,1,45.0,,0.0,100.0,100.0,0.8999959089049502,0.001216912306500295,0.125,0.3608124607268061,0.0,0.0,0.0,1.0,0.0,
CENTRO AMAZONENSE,214557,349.98,99.0,3.535151515151515,1,1,1,37.0,,0.0,99.0,99.0,0.7954452475112505,0.0010696848924404828,0.1,0.3189333052037023,0.0,0.0,0.0,1.0,0.0,
MADEIRA-GUAPORÉ,156084,349.98,100.0,3.4998,1,1,1,39.0,,0.0,100.0,100.0,0.787490795036138,0.001487340722541199,0.25,0.31591858654569754,0.0,0.0,0.0,1.0,0.0,
SUL CEARENSE,90661,47.96,47.96,1.0,1,1,1,37.0,,0.0,47.96,47.96,0.22501022773762444,0.516254036598493,1.0,0.2968330379766729,0.0,0.0,0.0,1.0,0.0,
METROPOLITANA DE SÃO PAULO,28822,10845.52,10937.66,0.9964210219192435,611,135,2,37.3552,7.981262672419311,0.0224,17.90124386252046,81.0197037037037,0.22420492106460546,0.004658233089020337,0.6958762886597938,0.29154526166145034,0.0,41.0,93.0,438.0,39.0,76.65921915575402
SUDESTE PIAUIENSE,28822,14.98,14.98,1.0,1,1,1,37.0,,0.0,14.98,14.98,0.22501022773762444,0.5,1.0,0.29033142333727563,0.0,0.0,0.0,1.0,0.0,
SUDESTE PIAUIENSE,64352,14.98,14.98,1.0,1,1,1,37.0,,0.0,14.98,14.98,0.22501022773762444,0.5,1.0,0.29033142333727563,0.0,0.0,0.0,1.0,0.0,
CENTRO AMAZONENSE,252253,899.94,297.0,3.0301010101010104,3,2,1,44.0,12.12435565298214,0.0,99.0,148.5,0.6818037183508342,0.0032090546773214487,0.2,0.27498710593793985,0.0,0.0,0.0,2.0,1.0,212.11789222034054
CENTRO AMAZONENSE,193973,599.96,198.0,3.0301010101010104,2,1,1,34.0,4.242640687119285,0.0,99.0,198.0,0.6818037183508342,0.0021393697848809657,0.1,0.2742318997387378,0.0,0.0,1.0,1.0,0.0,
CENTRO AMAZONENSE,208856,299.98,99.0,3.0301010101010104,1,1,1,37.0,,0.0,99.0,99.0,0.6818037183508342,0.0010696848924404828,0.1,0.27347669353953574,0.0,0.0,0.0,1.0,0.0,
